MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,,
356,KICK-OFF,BOGOTA,3,TECNICA,MALO ,NO,,
410,ERROR DE MANOS ,NORTE,6,COMUNICACION ,MALO ,NO,,
412,PENAL,NORTE,6,TECNICA,MALO ,SI,,
440,SALIDA 22,NORTE,4,TECNICA,BUENO,NO,,
538,ERROR DE MANOS ,NORTE,5,TACTICA,MALO ,NO,,
545,PENAL,BOGOTA,6,TACTICA,MALO ,NO,,
552,KNOCK-ON,NORTE,6,TACTICA,MALO ,NO,,
610,SCRUM,BOGOTA,1,TECNICA,BUENO,NO,,
640,COMPLETA ,BOGOTA,7,TACTICA,BUENO,NO,,
653,TRY,BOGOTA,5,TACTICA,BUENO,SI,,
720,CONVERSION,BOGOTA,5,TECNICA,MALO ,NO,,
1,KICK-OFF,BOGOTA,2,TECNICA,BUENO,SI,,
12,KNOCK-ON,NORTE,7,TECNICA,MALO ,SI,,
40,SCRUM,BOGOTA,1,TECNICA,BUENO,NO,,
47,VUELTA,BOGOTA,6,FISICO ,REGULAR,NO,,
56,ERROR TACTICO,NORTE,5,TACTICA,MALO ,NO,,
101,VUELTA,BOGOTA,4,TACTICA,MALO ,NO,,
110,VENTAJA,BOGOTA,4,TACTICA,MALO ,NO,,
116,PENAL,NORTE,6,REGLAMENTO,MALO ,NO,,
130,PENAL,BOGOTA,6,FISICO ,MALO ,NO,,
154,LINE OUT,NORTE,1,TACTICA,BUENO,NO,,
210,JUEGO CON EL PIE ,NORTE,7,TACTICA,BUENO,NO,,
226,TRY,BOGOTA,7,FISICO ,BUENO,NO,,
242,CONVERSION,BOGOTA,5,TECNICA,BUENO,NO,,
310,KICK-OFF,BOGOTA,2,TACTICA,MALO ,NO,,
322,LINE OUT RAPIDO ,BOGOTA,1,TACTICA,BUENO,NO,,
340,PENAL,NORTE,6,FISICO ,MALO ,NO,,
420,LINE OUT,BOGOTA,3,TACTICA,REGULAR,SI,,
428,ERROR DE MANOS ,BOGOTA,6,TACTICA,REGULAR,NO,,
450,VUELTA,BOGOTA,3,TACTICA,MALO ,NO,,
457,ERROR DE MANOS ,BOGOTA,3,TACTICA,MALO ,NO,,
510,PENAL,NORTE,4,FISICO ,MALO ,NO,,
520,SCRUM,BOGOTA,1,TECNICA,BUENO,NO,,
532,PENAL,BOGOTA,7,TACTICA,MALO ,SI,,
536,JUEGO RAPIDO ,NORTE,2,TACTICA,MALO ,NO,,
540,ERROR DE MANOS ,NORTE,5,TACTICA,MALO ,NO,,
610,SCRUM,BOGOTA,-,TECNICA,MALO ,NO,,
616,JUEGO RAPIDO ,NORTE,2,TACTICA,REGULAR,NO,,
653,LINE OUT,NORTE,1,TACTICA,BUENO,SI,,
720,PENAL,NORTE,4,FISICO ,MALO ,NO,,
,,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,,
1,KICK-OFF,VALLE,1,TECNICA,BUENO,SI,,
15,PENAL,VALLE,6,TECNICA,MALO ,NO,,
30,JUEGO AL PIE ,RISARALDA ,-,TACTICA,MALO ,NO,,
103,PENAL,RISARALDA ,5,TECNICA,MALO ,NO,,
106,TIRO RAPIDO,VALLE,6,TACTICA,BUENO,NO,,
118,TRY,VALLE,6,FISICO ,BUENO,NO,,
130,CONVERSION,VALLE,4,TECNICA,MALO ,SI,,
110,KICK-OFF,VALLE,1,TECNICA,BUENO,NO,,
123,PENAL,VALLE,5,TECNICA,MALO ,NO,,
130,ERROR TACTICO,RISARALDA ,6,TACTICA,MALO ,NO,,
140,TRY,RISARALDA ,5,TACTICA,MALO ,NO,,
222,CONVERSION,RISARALDA ,4,TECNICA,BUENO,NO,,
234,KICK-OFF,RISARALDA ,1,TECNICA,BUENO,NO,,
245,PENAL AMARILLA ,RISARALDA ,2,TACTICA,MALO ,NO,,
302,PENAL AMARILLA ,RISARALDA ,5,REGLAMENTO,MALO ,NO,,
