MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,,
630,PENAL,VALLE,5,TACTICA,MALO ,NO,,
630,JUEGO RAPIDO ,GUAJIRA,4,TACTICA,BUENO,NO,,
640,TRY,GUAJIRA,4,FISICO ,BUENO,NO,,
652,CONVERSION,GUAJIRA,5,TECNICA,BUENO,NO,,
1,KICK-OFF,GUAJIRA,4,TECNICA,BUENO,NO,,
10,ERROR DE MANOS ,VALLE,7,TECNICA,MALO ,NO,,
15,QUIEBRE,VALLE,1,FISICO ,BUENO,SI,,
27,COMPLETA ,VALLE,7,TACTICA,BUENO,NO,,
28,TRY,VALLE,7,TACTICA,BUENO,SI,,
101,CONVERSION,VALLE,4,TECNICA,MALO ,SI,0,
120,KICK-OFF,VALLE,0,TECNICA,MALO ,NO,,
141,ERROR DE MANOS ,GUAJIRA,5,TECNICA,MALO ,NO,,
150,KNOCK-ON,VALLE,5,DESICION ,REGULAR,NO,,
210,SCRUM,GUAJIRA,1,TECNICA,MALO ,SI,,
238,DUELO ,VALLE,6,TECNICA,BUENO,SI,,
239,COMPLETA ,VALLE,7,TACTICA,BUENO,SI,,
252,CONVERSION,VALLE,4,TECNICA,BUENO,NO,,
320,KICK-OFF,VALLE,1,TECNICA,BUENO,SI,,
414,ERROR DE MANOS ,VALLE,6,TACTICA,MALO ,NO,,
422,PENAL,VALLE,6,TECNICA,MALO ,SI,,
423,JUEGO RAPIDO ,GUAJIRA,5,TACTICA,REGULAR,NO,,
454,ERROR DE MANOS ,GUAJIRA,7,TECNICA,MALO ,SI,,
513,KNOCK-ON,VALLE,6,DESICION ,REGULAR,NO,,
520,SCRUM,GUAJIRA,1,TECNICA,MALO ,SI,,
546,PENAL,GUAJIRA,6,TECNICA,MALO ,SI,,
552,JUEGO RAPIDO ,VALLE,2,TACTICA,REGULAR,NO,,
607,ERROR DE MANOS ,VALLE,6,TACTICA,MALO ,NO,,
620,JUEGO AL PIE ,GUAJIRA,5,TECNICA,BUENO,SI,,
625,PENAL,GUAJIRA,6,TACTICA,REGULAR,NO,,
651,PASS-FORWARD,VALLE,6,TECNICA,MALO ,SI,,
710,SCRUM,GUAJIRA,-,TECNICA,MALO ,NO,,
740,JUEGO RAPIDO ,VALLE,6,TACTICA,BUENO,NO,,
800,ERROR TACTICO,VALLE,6,TACTICA,MALO ,SI,,
,,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,,
1,KICK-OFF,ATLANTICO,1,TECNICA,BUENO,SI,,
12,KNOCK-ON,NORTE,6,TECNICA,MALO ,SI,,
17,VUELTA,ATLANTICO,4,TACTICA,REGULAR,NO,,
43,ERROR TACTICO,ATLANTICO,7,TACTICA,MALO ,NO,,
56,TRY,ATLANTICO,7,FISICO ,BUENO,SI,,
120,CONVERSION,ATLANTICO,4,TECNICA,MALO ,SI,,
148,KICK-OFF,ATLANTICO,1,TECNICA,REGULAR,NO,,
157,ERROR DE MANOS ,NORTE,2,TECNICA,MALO ,SI,,
158,PENAL,ATLANTICO,7,REGLAMENTO,MALO ,NO,,
205,JUEGO RAPIDO ,NORTE,4,TACTICA,REGULAR,NO,,
242,LINE OUT,ATLANTICO,1,TECNICA,BUENO,NO,,
259,COMPLETA ,ATLANTICO,7,TACTICA,BUENO,NO,,
315,PENAL,NORTE,2,TECNICA,MALO ,NO,,
330,SCRUM,ATLANTICO,1,TECNICA,BUENO,SI,,
403,TRY,ATLANTICO,7,TACTICA,BUENO,SI,,
442,CONVERSION,ATLANTICO,4,TECNICA,MALO ,SI,,
459,KICK-OFF,ATLANTICO,1,TECNICA,BUENO,SI,,
513,ERROR TACTICO,ATLANTICO,5,COMUNICACION ,MALO ,NO,,
529,PENAL,NORTE,4,REGLAMENTO,MALO ,NO,,
540,SCRUM,ATLANTICO,1,TECNICA,BUENO,SI,,
610,ERROR TACTICO,ATLANTICO,5,FISICO ,MALO ,SI,,
620,ERROR TACTICO,NORTE,5,COMUNICACION ,MALO ,NO,,
630,ERROR DE MANOS ,NORTE,6,TECNICA,MALO ,NO,,
655,SCRUM,ATLANTICO,1,TECNICA,MALO ,NO,,
726,PENAL,ATLANTICO,4,REGLAMENTO,MALO ,NO,,
733,ERROR DE MANOS ,NORTE,6,TECNICA,MALO ,NO,,
800,KNOCK-ON,ATLANTICO,7,TECNICA,MALO ,NO,,
1,KICK-OFF,NORTE,1,TECNICA,BUENO,SI,,
2,ERROR DE MANOS ,ATLANTICO,5,TECNICA,REGULAR,SI,,
5,ERROR DE MANOS ,ATLANTICO,6,TECNICA,REGULAR,SI,,
14,PENAL,NORTE,6,REGLAMENTO,MALO ,NO,,
30,SCRUM,ATLANTICO,1,TECNICA,MALO ,SI,,
53,LINE OUT,NORTE,1,TECNICA,BUENO,NO,,
128,COMPLETA ,NORTE,7,TACTICA,BUENO,SI,,
138,TRY,NORTE,6,FISICO ,BUENO,SI,,
160,CONVERSION,NORTE,4,TECNICA,BUENO,NO,,
230,KICK-OFF,NORTE,4,TECNICA,BUENO,SI,,
245,PENAL,NORTE,6,TECNICA,MALO ,SI,,
310,SCRUM,ATLANTICO,1,TECNICA,MALO ,SI,,
341,PENAL,NORTE,6,FISICO ,MALO ,NO,,
355,SCRUM,ATLANTICO,1,TECNICA,MALO ,SI,,
417,PENAL,NORTE,1,TECNICA,MALO ,NO,,
428,JUEGO RAPIDO ,ATLANTICO,6,TACTICA,MALO ,NO,,
433,VUELTA,ATLANTICO,4,TACTICA,MALO ,NO,,
454,ERROR DE MANOS ,ATLANTICO,3,TECNICA,MALO ,SI,,
503,COMPLETA ,ATLANTICO,7,TECNICA,BUENO,SI,,
507,TRY,ATLANTICO,7,FISICO ,BUENO,NO,,
540,CONVERSION,ATLANTICO,4,TECNICA,BUENO,NO,,
557,KICK-OFF,ATLANTICO,3,TECNICA,BUENO,SI,,
626,ERROR TACTICO,ATLANTICO,3,TACTICA,MALO ,NO,,
627,JUEGO RAPIDO ,NORTE,2,TACTICA,REGULAR,NO,,
636,PENAL AMARILLA ,ATLANTICO,6,REGLAMENTO,MALO ,NO,,
701,COMPLETA ,NORTE,7,TACTICA,BUENO,NO,,
734,CONVERSIÓN,NORTE,4,TECNICA,MALO ,NO,,
,,,,,,,,
,,,,,,,,S
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,,
1,KICK-OFF,ANTIOQUIA,0,TECNICA,BUENO,NO,,
8,KNOCK-ON,BOGOTA,5,TECNICA,MALO ,NO,s,
30,SCRUM,ANTIOQUIA,1,TECNICA,BUENO,NO,,
46,TRY,ANTIOQUIA,5,FISICO ,BUENO,SI,,
110,CONVERSIÓN,ANTIOQUIA,4,TECNICA,MALO ,SI,,
130,KICK-OFF,ANTIOQUIA,1,TECNICA,BUENO,NO,,
141,ERROR DE MANOS ,BOGOTA,4,TECNICA,MALO ,NO,,
156,LINE OUT,ANTIOQUIA,1,TECNICA,BUENO,NO,,
230,PENAL,BOGOTA,7,REGLAMENTO,MALO ,NO,,
233,TIRO RAPIDO,ANTIOQUIA,5,TACTICA,BUENO,NO,,
242,COMPLETA ,ANTIOQUIA,7,TECNICA,BUENO,NO,,
243,TRY,ANTIOQUIA,7,FISICO ,BUENO,SI,,
301,CONVERSION,ANTIOQUIA,4,TECNICA,MALO ,SI,,
328,KICK-OFF,ANTIOQUIA,4,TECNICA,BUENO,NO,,
331,KNOCK-ON,ANTIOQUIA,7,TECNICA,REGULAR,SI,,
340,SCRUM,BOGOTA,1,TECNICA,BUENO,NO,,
411,VENTAJA,BOGOTA,4,TACTICA,REGULAR,NO,,
416,PENAL,ANTIOQUIA,6,FISICO ,MALO ,NO,,
420,JUEGO RAPIDO ,BOGOTA,5,TACTICA,REGULAR,NO,,
443,ERROR TACTICO,BOGOTA,5,TACTICA,REGULAR,NO,,
501,PENAL AMARILLA ,ANTIOQUIA,4,TECNICA,MALO ,NO,,
520,SCRUM,BOGOTA,-,TECNICA,BUENO,NO,,
553,JUEGO RAPIDO ,BOGOTA,4,TACTICA,BUENO,NO,,
614,PENAL,ANTIOQUIA,5,FISICO ,MALO ,NO,,
624,COMPLETA ,BOGOTA,7,TACTICA,BUENO,NO,,
626,TRY,BOGOTA,7,TECNICA,BUENO,SI,,
648,CONVERSION,BOGOTA,7,TECNICA,MALO ,SI,,
710,KICK-OFF,BOGOTA,-,REGLAMENTO,BUENO,NO,,
720,JUEGO RAPIDO ,ANTIOQUIA,5,TACTICA,BUENO,NO,,
741,QUIEBRE,ANTIOQUIA,6,FISICO ,BUENO,SI,,
742,ERROR DE MANOS ,ANTIOQUIA,6,TECNICA,MALO ,NO,,
1,KICK-OFF,BOGOTA,3,TECNICA,REGULAR,NO,,
14,ERROR DE MANOS ,ANTIOQUIA,6,TECNICA,REGULAR,SI,,
40,SCRUM,BOGOTA,1,TECNICA,BUENO,NO,,
53,VUELTA,BOGOTA,5,TACTICA,MALO ,NO,,
56,VUELTA,BOGOTA,6,TACTICA,MALO ,NO,,
113,JUEGO CON EL PIE ,BOGOTA,6,TECNICA,MALO ,NO,,
123,LINE OUT,BOGOTA,1,TACTICA,MALO ,NO,,
134,VENTAJA,ANTIOQUIA,5,TACTICA,BUENO,SI,,
250,SCRUM,BOGOTA,1,TECNICA,BUENO,NO,,
357,ERROR TACTICO,BOGOTA,5,COMUNICACION ,MALO ,NO,,
401,COMPLETA ,ANTIOQUIA,7,TACTICA,BUENO,NO,,
407,TRY,ANTIOQUIA,7,FISICO ,BUENO,SI,,
414,CONVERSIÓN,ANTIOQUIA,4,TECNICA,MALO ,SI,,
453,KICK-OFF,ANTIOQUIA,2,TECNICA,BUENO,SI,,
501,KNOCK-ON,BOGOTA,3,TECNICA,MALO ,NO,,
508,TRY,BOGOTA,3,DESICION ,BUENO,SI,,
532,CONVERSION,ANTIOQUIA,4,TECNICA,MALO ,SI,,
610,KICK-OFF,ANTIOQUIA,4,TECNICA,REGULAR,NO,,
623,JUEGO CON EL PIE ,BOGOTA,4,TACTICA,REGULAR,NO,,
637,COMPLETA ,ANTIOQUIA,7,TACTICA,BUENO,NO,,
645,TRY,ANTIOQUIA,7,FISICO ,BUENO,SI,,
710,CONVERSION,ANTIOQUIA,4,TECNICA,MALO ,NO,,
725,KICK-OFF,ANTIOQUIA,1,TECNICA,BUENO,SI,,
754,ERROR TACTICO,BOGOTA,4,TACTICA,MALO ,NO,,
836,PENAL,BOGOTA,4,TECNICA,MALO ,SI,,
841,PENAL AMARILLA ,BOGOTA,4,TECNICA,MALO ,SI,,
