MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,lado 
31,TRY,BOGOTA,5,TACTICA,BUENO,SI,
54,CONVERSION,BOGOTA,5,TECNICA,BUENO,NO,
129,KICK-OFF,BOGOTA,-,TECNICA,MALO,NO,
138,JUEGO RAPIDO ,RISALDA,4,DESICION,MALO,NO,
152,PENAL,BOGOTA,7,FISICO,MALO,SI,
200,JUEGO RAPIDO,RISALDA,4,DESICION,MALO,NO,
235,PENAL,BOGOTA,3,TECNICA,MALO,SI,
241,JUEGO RAPIDO,RISALDA,4,DESICION,REGULAR,NO,
312,ERROR DE MANOS,RISALDA,4,TECNICA,MALO,NO,
333,ERROR DE MANOS,RISALDA,5,DESICION,MALO,SI,
349,TRY,BOGOTA,2,DESICION,BUENO,NO ,
404,CONVERSION,BOGOTA,2,TECNICA,MALO,NO,
432,KICK-OFF,BOGOTA,0,TECNICA,MALO ,NO,I
451,VUELTA,RISALDA,4,DESICION,MALO,NO,
500,VENTAJA,RISALDA,4,DESICION,MALO,NO,
513,PENAL,RISALDA,7,REGLAMENTO,MALO,NO,
532,SCRUM,BOGOTA,4,DESICION,BUENO,NO,
635,ERROR DE MANOS,BOGOTA,7,DESICION,MALO,NO,
642,JUEGO RAPIDO,BOGOTA,3,DESICION,BUENO,NO,
670,TRY,BOGOTA,7,DESICION,BUENO,NO,
714,CONVERSION,BOGOTA,1,DESICION,MALO,SI,
,,,,,,,
,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
1,KICK-OFF,VALLE,3,TECNICA,MALO,NO,D
26,PENAL,VALLE,6,FISICO,MALO,NO,
39,JUEGO RAPIDO ,BOLIVAR,2,TACTICA ,BUENO ,NO,
41,ERROR TACTICO,BOLIVAR,4,COMUNICACION ,MALO,NO,
45,VUELTA ,BOLIVAR,5,TACTICA ,MALO,NO ,
180,ERROR DE MANOS ,BOLIVAR,3,TECNICA,MALO,NO,
120,KNOCK-ON,VALLE,4,TECNICA,MALO,SI,
214,SCRUM,BOLIVAR,1,TECNICA,MALO,NO,
229,TRY,VALLE,4,DESICION,BUENO,SI,
240,CONVERSIÓN,VALLE,5,TECNICA,MALO,NO,
317,KICK-OFF,VALLE,1,TECNICA,REGULAR,SI,D
334,KNOCK-ON,BOLIVAR,2,TECNICA,MALO,SI,
347,SCRUM,VALLE,2,REGLAMENTO ,MALO,NO,
404,JUEGO RAPIDO ,BOLIVAR,6,DESICION,REGULAR,NO,
418,VUELTA ,BOLIVAR,5,DESICION,MALO,NO,
428,JUEGO AL PIE ,BOLIVAR,7,DESICION,REGULAR,SI,
502,TRY,VALLE,5,DESICION,BUENO ,SI,
520,CONVERSION,VALLE,4,TECNICA,MALO,NO,
551,KICK-OFF,VALLE,2,TECNICA,REGULAR,NO,I
558,ERROR DE MANOS ,BOLIVAR,2,TECNICA,MALO,NO,
613,JUEGO AL PIE ,BOLIVAR,4,TECNICA,MALO,NO,
621,TRY,VALLE,5,DESICION,BUENO ,SI,
630,CONVERSION,VALLE,4,TECNICA,BUENO ,NO,
710,KICK-OFF,BOLIVAR,-,TECNICA,REGULAR,NO,I
713,KNOCK-ON,BOLIVAR,4,TACTICA,MALO,NO,
725,VUELTA,VALLE,4,TACTICA,REGULAR,NO,
741,PENAL,BOLIVAR,2,REGLAMENTO ,MALO,NO,
743,ERROR DE MANOS ,VALLE,2,TACTICA,MALO,NO ,
748,KNOCK-ON,VALLE,4,TACTICA ,MALO,NO ,
807,SCRUM,BOLIVAR,2,TACTICA ,MALO,SI,
822,PENAL,BOLIVAR,2,REGLAMENTO ,MALO,NO,
823,JUEGO RAPIDO ,VALLE,4,DESICION,REGULAR,NO,
842,TRY,VALLE,7,TACTICA ,BUENO ,NO,
903,CONVERSION,VALLE,5,TECNICA,MALO,SI,
915,KICK-OFF,VALLE,1,TECNICA,BUENO ,NO,I
953,PENAL,VALLE,5,REGLAMENTO ,MALO,NO,
959,JUEGO CON EL PIE ,BOLIVAR,7,TACTICA ,MALO,NO,
1021,PENAL,BOLIVAR,7,REGLAMENTO ,MALO,N,
1023,SCRUM,VALLE ,5,TACTICA ,REGULAR,NO,
1110,VUELTA,VALLE,7,TACTICA ,REGULAR,NO,
1140,ERROR DE MANOS ,VALLE,6,TACTICA ,MALO,NO,
1147,PENAL,BOLIVAR,7,REGLAMENTO ,MALO,N,
1205,SCRUM,VALLE,1,TACTICA ,BUENO ,NO,
1236,TRY,VALLE,6,TACTICA ,BUENO ,NO,
1258,CONVERSION,VALLE,5,TECNICA,BUENO ,NO,
1317,KICK-OFF,VALLE,-,TECNICA,MALO,N,D
1340,VUELTA,BOLIVAR,6,TACTICA ,REGULAR,NO,
1357,ERROR DE MANOS ,VALLE,6,TECNICA,M,SI,
,,,,,,,
,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
1,KICK-OFF,GUAJIRA,3,TECNICA,REGULAR,NO,D
13,ERROR TACTICO,GUAJIRA,4,COMUNICACION ,MALO ,NO,
27,ERROR TACTICO,GUAJIRA,4,COMUNICACION ,MALO ,NO,
