MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,lado 
540,ERROR DE MANOS ,GUAJIRA,5,DESICION ,MALO ,NO,
601,ERROR TACTICO,GUAJIRA,5,TACTICA,MALO ,NO,
620,KNOCK-ON,GUAJIRA,5,TACTICA,MALO ,SI,
654,ERROR TACTICO,NORTE,5,TACTICA,MALO ,NO,
703,PENAL,NORTE,4,TECNICA,REGULAR,SI,
706,JUEGO RAPIDO ,GUAJIRA,5,DESICION ,REGULAR,NO,
710,ERROR DE MANOS ,GUAJIRA,7,TECNICA,MALO ,NO,
1,KICK-OFF,GUAJIRA,3,TECNICA,REGULAR,SI,D
7,JUEGO CON EL PIE ,NORTE,7,DESICION ,REGULAR,NO,
8,PENAL AMARILLA ,GUAJIRA,7,REGLAMENTO,MALO ,NO,
40,LINE OUT,NORTE,4,DESICION ,BUENO,SI,
122,PENAL,GUAJIRA,4,REGLAMENTO,MALO ,NO,
130,JUEGO RAPIDO ,NORTE,4,DESICION ,REGULAR,NO,
145,DUELO ,NORTE,5,DESICION ,BUENO,NO,
146,TRY,NORTE,7,TACTICA,BUENO,SI,
216,CONVERSION,NORTE,4,TECNICA,MALO ,NO,
230,KICK-OFF,NORTE,1,TECNICA,BUENO,SI,I
251,KNOCK-ON,NORTE,6,DESICION ,REGULAR,SI,
303,SCRUM,GUAJIRA,1,REGLAMENTO,MALO ,NO,
318,FREE-KICK,NORTE,2,REGLAMENTO,REGULAR,NA,
341,COMPLETA ,NORTE,7,TACTICA,BUENO,NO,
345,PENAL,GUAJIRA,5,TACTICA,MALO ,NO,
347,JUEGO RAPIDO ,NORTE,5,DESICION ,REGULAR,NO,
350,TRY,NORTE,6,DESICION ,BUENO,SI,
358,CONVERSION,NORTE,4,TECNICA,BUENO,NO,
440,KICK-OFF,NORTE,0,TECNICA,BUENO,SI,I
507,ERROR DE MANOS ,GUAJIRA,6,DESICION ,MALO ,NO,
510,LINE OUT,NORTE,4,REGLAMENTO,MALO ,SI,
524,ERROR DE MANOS ,NORTE,4,TECNICA,MALO ,SI,
526,ERROR TACTICO,GUAJIRA,4,REGLAMENTO,MALO ,NO,
527,FREE-KICK,NORTE,4,REGLAMENTO,REGULAR,NO,
535,JUEGO RAPIDO ,NORTE,6,DESICION ,BUENO,NO,
546,JUEGO CON EL PIE ,NORTE,6,DESICION ,REGULAR,NO,
551,KNOCK-ON,GUAJIRA,5,TECNICA,MALO ,NO,
601,SCRUM,NORTE,4,DESICION ,BUENO,SI,
632,ERROR DE MANOS ,NORTE,5,TECNICA,MALO ,NO,
,,,,,,,
,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
1,KICK-OFF,ATLANTICO,0,TECNICA,MALO ,NO,C
21,PASS-FORWARD,ATLANTICO,5,REGLAMENTO,MALO ,SI,
25,JUEGO RAPIDO ,BOLIVAR,5,TACTICA,MALO ,NO,
45,COMPLETA ,BOLIVAR,7,TACTICA,REGULAR,NO,
47,PENAL,ATLANTICO,5,REGLAMENTO,MALO ,NO,
103,COMPLETA ,BOLIVAR,7,TACTICA,REGULAR,NO,
113,LINE OUT,ATLANTICO,7,REGLAMENTO,REGULAR,SI,
142,ERROR DE MANOS ,ATLANTICO,4,DESICION ,MALO ,NO,
153,PENAL,ATLANTICO,5,REGLAMENTO,MALO ,SI,
154,JUEGO RAPIDO ,BOLIVAR,5,TACTICA,MALO ,NO,
159,ERROR DE MANOS ,BOLIVAR,5,TECNICA,MALO ,NO,
203,PASS-FORWARD,BOLIVAR,6,TACTICA,MALO ,NO,
215,SCRUM,ATLANTICO,4,TACTICA,MALO ,SI,
235,FREE-KICK,BOLIVAR,4,REGLAMENTO,REGULAR,NA,
239,JUEGO RAPIDO ,BOLIVAR,5,DESICION ,MALO ,NO,
248,PENAL,BOLIVAR,6,TECNICA,MALO ,NO,
253,JUEGO RAPIDO ,ATLANTICO,5,TACTICA,REGULAR,NO,
300,COMPLETA ,ATLANTICO,7,TACTICA,BUENO,NO,
319,CONVERSIÓN,ATLANTICO,7,TACTICA,MALO ,NO,
320,ERROR DE MANOS ,ATLANTICO,6,DESICION ,MALO ,NO,
330,LINE OUT,BOLIVAR,4,REGLAMENTO,BUENO,SI,
359,FREE-KICK,BOLIVAR,5,REGLAMENTO,BUENO,SI,
410,JUEGO RAPIDO ,BOLIVAR,6,DESICION ,BUENO,NO,
414,DUELO ,BOLIVAR,6,DESICION ,MALO ,NO,
423,LINE OUT,ATLANTICO,4,REGLAMENTO,MALO ,NO,
502,KNOCK-ON,BOLIVAR,4,TACTICA,MALO ,NO,
505,SCRUM,ATLANTICO,4,TACTICA,REGULAR,SI,
529,FREE-KICK,ATLANTICO,4,REGLAMENTO,MALO ,NO,
530,JUEGO RAPIDO ,ATLANTICO,4,DESICION ,BUENO,SI,
531,COMPLETA ,ATLANTICO,7,DESICION ,BUENO,NO,
551,TRY,ATLANTICO,7,DESICION ,BUENO,NA,
603,CONVERSIÓN,ATLANTICO,5,TECNICA,MALO ,NO,
630,KICK-OFF,ATLANTICO,-,TECNICA,MALO ,SI,
643,PASS-FORWARD,BOLIVAR,4,TACTICA,REGULAR,NO,
701,ERROR DE MANOS ,BOLIVAR,6,TECNICA,MALO ,NO,
714,KICK-OFF,BOLIVAR,1,TECNICA,BUENO,SI,D
723,PENAL,ATLANTICO,4,REGLAMENTO,MALO ,NO,
731,SCRUM,ATLANTICO,4,DESICION ,BUENO,NO,
808,ERROR DE MANOS ,ATLANTICO,4,TECNICA,MALO ,NO,
814,ERROR DE MANOS ,ATLANTICO,6,TECNICA,MALO ,NO,
824,ERROR DE MANOS ,ATLANTICO,5,TECNICA,MALO ,NO,
830,KICK-OFF,ATLANTICO,6,TACTICA,MALO ,SI,
843,PENAL,ATLANTICO,5,FISICO ,MALO ,NO,
846,KNOCK-ON,BOLIVAR,5,FISICO ,MALO ,NO,
852,SCRUM,ATLANTICO,4,REGLAMENTO,BUENO,SI,
914,PENAL,BOLIVAR,4,REGLAMENTO,MALO ,NO,
918,JUEGO RAPIDO ,ATLANTICO,2,DESICION ,BUENO,SI,
932,TRY,ATLANTICO,4,DESICION ,BUENO,NO,
947,CONVERSIÓN,ATLANTICO,4,TECNICA,MALO ,NO,
1019,KICK-OFF,ATLANTICO,0,TECNICA,BUENO,SI,I
1044,ERROR TACTICO,BOLIVAR,2,TACTICA,MALO ,NO,
1057,PENAL,BOLIVAR,2,REGLAMENTO,MALO ,NO,
1100,JUEGO RAPIDO ,ATLANTICO,5,DESICION ,REGULAR,NO,
1114,ERROR DE MANOS ,ATLANTICO,7,DESICION ,MALO ,NO,
1118,TRY,ATLANTICO,6,DESICION ,REGULAR,SI,
1150,CONVERSIÓN,ATLANTICO,4,TECNICA,MALO ,SI,
1152,KICK-OFF,ATLANTICO,0,TECNICA,REGULAR,NO,C
1232,PENAL,ATLANTICO,4,REGLAMENTO,REGULAR,SI,
1243,TRY,BOLIVAR,5,DESICION ,BUENO,SI,
1255,CONVERSIÓN,BOLIVAR,5,TECNICA,MALO ,NO,
1318,KICK-OFF,BOLIVAR,3,TECNICA,REGULAR,NO,D
1351,ERROR DE MANOS ,ATLANTICO,7,TECNICA,MALO ,NO,
1409,TRY,ATLANTICO,6,DESICION ,BUENO,SI,
1421,CONVERSIÓN,ATLANTICO,4,TECNICA,MALO ,NO,
,,,,,,,
,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
1,KICK-OFF,ANTIOQUIA ,1,TECNICA,BUENO,NO,I
27,ERROR DE MANOS ,SANTANDER,5,TECNICA,MALO ,SI,
35,TRY,ANTIOQUIA ,7,FISICO ,BUENO,SI,
38,CONVERSIÓN,ANTIOQUIA ,4,TECNICA,MALO ,SI,
101,KICK-OFF,ANTIOQUIA ,4,TACTICA,BUENO,SI,
130,ERROR DE MANOS ,SANTANDER,5,TECNICA,MALO ,SI,
150,SCRUM,ANTIOQUIA ,4,REGLAMENTO,BUENO,SI,
219,TRY,ANTIOQUIA ,7,TACTICA,BUENO,SI,
225,CONVERSIÓN,ANTIOQUIA ,4,TECNICA,MALO ,SI,
250,KICK-OFF,ANTIOQUIA ,2,TECNICA,BUENO,SI,I
324,JUEGO CON EL PIE ,ANTIOQUIA ,4,DESICION ,REGULAR,NO,
350,TRY,ANTIOQUIA ,6,FISICO ,BUENO,SI,
355,CONVERSIÓN,ANTIOQUIA ,4,TECNICA,BUENO,NO,
420,KICK-OFF,ANTIOQUIA ,0,TECNICA,BUENO,SI,C
450,TRY,ANTIOQUIA ,6,FISICO ,BUENO,SI,
460,CONVERSIÓN,ANTIOQUIA ,4,TECNICA,BUENO,NO,
530,KICK-OFF,ANTIOQUIA ,-,TECNICA,MALO ,SI,
550,JUEGO RAPIDO ,SANTANDER,4,DESICION ,BUENO,NO,
620,PENAL,SANTANDER,5,REGLAMENTO,MALO ,NO,
630,JUEGO RAPIDO ,ANTIOQUIA ,4,DESICION ,BUENO,NO,
630,COMPLETA ,ANTIOQUIA ,7,TACTICA,BUENO,NO,
641,TRY,ANTIOQUIA ,7,DESICION ,BUENO,SI,
650,CONVERSIÓN,ANTIOQUIA ,4,TECNICA,MALO ,NO,
1,KICK-OFF,SANTANDER,-,TECNICA,MALO ,NO,
15,JUEGO RAPIDO ,ANTIOQUIA ,4,TACTICA,BUENO,NO,
24,PASS-FORWARD,ANTIOQUIA ,5,TECNICA,MALO ,SI,
41,SCRUM,SANTANDER,4,REGLAMENTO,MALO ,SI,
100,ERROR DE MANOS ,ANTIOQUIA ,6,TACTICA,MALO ,NO,
120,TRY,ANTIOQUIA ,7,FISICO ,BUENO,SI,
130,CONVERSIÓN,ANTIOQUIA ,7,TECNICA,BUENO,NO,
155,KICK-OFF,ANTIOQUIA ,4,TECNICA,BUENO,NO,I
216,LINE OUT,SANTANDER,1,REGLAMENTO,BUENO,NO,
254,VENTAJA,SANTANDER,3,TACTICA,MALO ,NO,
258,ERROR DE MANOS ,SANTANDER,3,TECNICA,MALO ,NO,
310,ERROR DE MANOS ,ANTIOQUIA ,5,DESICION ,MALO ,NO,
315,TRY,ANTIOQUIA ,7,FISICO ,BUENO,NO,
330,CONVERSIÓN,ANTIOQUIA ,7,TECNICA,BUENO,SI,
360,KICK-OFF,ANTIOQUIA ,2,TACTICA,BUENO,NO,D
420,ERROR DE MANOS ,SANTANDER,6,TECNICA,MALO ,NO,
447,SCRUM,ANTIOQUIA ,4,TECNICA,MALO ,SI,
452,PASS-FORWARD,ANTIOQUIA ,5,REGLAMENTO,MALO ,NO,
458,ERROR DE MANOS ,SANTANDER,5,TACTICA,MALO ,NO,
502,TRY,ANTIOQUIA ,7,TACTICA,BUENO,SI,
520,CONVERSIÓN,ANTIOQUIA ,7,TECNICA,MALO ,SI,
540,KICK-OFF,ANTIOQUIA ,2,TACTICA,BUENO,NO,I
638,ERROR TACTICO,SANTANDER,7,TACTICA,MALO ,NO,
640,TRY,ANTIOQUIA ,7,TACTICA,BUENO,SI,
650,CONVERSIÓN,ANTIOQUIA ,4,TECNICA,MALO ,SI,
710,KICK-OFF,ANTIOQUIA ,2,TACTICA,BUENO,NO,D
727,ERROR DE MANOS ,SANTANDER,7,TECNICA,MALO ,NO,
737,VUELTA,ANTIOQUIA ,6,TACTICA,REGULAR,SI,
750,TRY,ANTIOQUIA ,7,TACTICA,BUENO,SI,
804,CONVERSIÓN,ANTIOQUIA ,4,TECNICA,BUENO,SI,
,,,,,,,
,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
1,KICK-OFF,NORTE,-,TECNICA,BUENO,NO,
10,JUEGO RAPIDO ,VALLE,4,TACTICA,REGULAR,NO,
21,VUELTA,VALLE,4,DESICION ,MALO ,NO,
55,ERROR TACTICO,NORTE,6,DESICION ,REGULAR,NO,
101,ERROR DE MANOS ,NORTE,3,TECNICA,MALO ,NO,
111,JUEGO CON EL PIE ,NORTE,5,TACTICA,REGULAR,NO,
123,JUEGO CON EL PIE ,VALLE,3,TACTICA,MALO ,NO,
131,ERROR DE MANOS ,NORTE,1,DESICION ,MALO ,NO,
144,SCRUM,NORTE,1,REGLAMENTO,REGULAR,SI,
215,ERROR DE MANOS ,NORTE,4,TACTICA,MALO ,SI,
218,COMPLETA ,NORTE,7,TACTICA,BUENO,NO,
223,JUEGO CON EL PIE ,NORTE,7,DESICION ,MALO ,NO,
231,SCRUM,VALLE,1,REGLAMENTO,REGULAR,SI,
304,VUELTA,VALLE,5,TACTICA,REGULAR,SI,
308,ERROR DE MANOS ,VALLE,5,TECNICA,MALO ,NO,
322,QUIEBRE,VALLE,5,FISICO ,BUENO,SI,
325,JUEGO RAPIDO ,VALLE,2,TACTICA,REGULAR,NO,
331,COMPLETA ,VALLE,3,TACTICA,MALO ,NO,
352,KNOCK-ON,VALLE,7,TECNICA,MALO ,NO,
420,SCRUM,NORTE,4,REGLAMENTO,BUENO,NO,
425,JUEGO CON EL PIE ,NORTE,6,TACTICA,REGULAR,NO,
503,COMPLETA ,VALLE,7,TACTICA,BUENO,NO,
515,TRY,VALLE,7,FISICO ,BUENO,NO,
516,CONVERSIÓN,VALLE,4,REGLAMENTO,BUENO,NA,
520,PENAL AMARILLA ,NORTE,7,REGLAMENTO,REGULAR,NO,
540,KICK-OFF,VALLE,1,TACTICA,REGULAR,NO,I
604,ERROR DE MANOS ,NORTE,2,TECNICA,MALO ,SI,
610,KICK-OFF,VALLE,7,DESICION ,REGULAR,SI,
630,SCRUM,NORTE,4,REGLAMENTO,BUENO,NO,
640,KNOCK-ON,NORTE,4,TECNICA,MALO ,SI,
651,KNOCK-ON,VALLE,6,TECNICA,MALO ,NO,
701,ERROR DE MANOS ,VALLE,6,TECNICA,MALO ,NO,
732,PENAL,NORTE,2,FISICO ,MALO ,SI,
 ,,,,,,,
1,KICK-OFF,VALLE,2,TECNICA,BUENO,NO,D
21,ERROR DE MANOS ,NORTE,6,TECNICA,MALO ,NO,
29,QUIEBRE,NORTE,7,TACTICA,BUENO,SI,
32,JUEGO CON EL PIE ,NORTE,7,DESICION ,REGULAR,NO,
38,PENAL,VALLE,4,REGLAMENTO,MALO ,SI,
52,TRY,NORTE,6,FISICO ,BUENO,SI,
118,CONVERSIÓN,NORTE,4,TECNICA,MALO ,SI,
130,KICK-OFF,NORTE,1,TACTICA,BUENO,NO,I
144,ERROR DE MANOS ,VALLE,6,TECNICA,MALO ,SI,
201,KNOCK-ON,NORTE,7,TECNICA,MALO ,SI,
210,SCRUM,VALLE,4,TACTICA,BUENO,SI,
225,VENTAJA,VALLE,5,TACTICA,REGULAR,NO,
239,QUIEBRE,VALLE,4,TECNICA,BUENO,SI,
244,PENAL,VALLE,4,REGLAMENTO,MALO ,SI,
252,JUEGO RAPIDO ,NORTE,2,TACTICA,REGULAR,NO,
254,JUEGO CON EL PIE ,NORTE,6,TACTICA,REGULAR,NO,
304,PENAL,NORTE,7,REGLAMENTO,MALO ,NO,
311,JUEGO RAPIDO ,VALLE,4,TACTICA,REGULAR,NO,
323,JUEGO CON EL PIE ,VALLE,6,TACTICA,REGULAR,NO,
331,PENAL,VALLE,7,REGLAMENTO,MALO ,NO,
341,JUEGO RAPIDO ,NORTE,2,TACTICA,BUENO,NO,
345,QUIEBRE,NORTE,5,TACTICA,BUENO,SI,
401,TRY,NORTE,6,TACTICA,BUENO,SI,
410,CONVERSIÓN,NORTE,4,TECNICA,BUENO,NO,
450,KICK-OFF,NORTE,-,TACTICA,BUENO,NO,
510,JUEGO RAPIDO ,VALLE,4,TACTICA,REGULAR,NO,
514,KNOCK-ON,VALLE,6,TECNICA,MALO ,SI,
520,SCRUM,NORTE,4,REGLAMENTO,BUENO,SI,
550,ERROR DE MANOS ,NORTE,6,DESICION ,MALO ,NO,
603,PENAL,NORTE,7,TECNICA,MALO ,SI,
610,PENAL AMARILLA ,NORTE,6,REGLAMENTO,MALO ,NO,
620,SCRUM,VALLE,4,TACTICA,BUENO,NO,
647,ERROR DE MANOS ,VALLE,5,TECNICA,MALO ,NO,
705,TRY,VALLE,5,TACTICA,REGULAR,NO,
720,CONVERSIÓN,VALLE,4,TECNICA,BUENO,NO,
