MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
404,ERROR DE MANOS ,RISARALDA,7,TECNICA,MALO ,NO,
420,ERROR DE MANOS ,ANTIOQUIA,2,COMUNICACION ,MALO ,NO,
428,ERROR DE MANOS ,ANTIOQUIA,6,TECNICA,MALO ,NO,
432,TRY,ANTIOQUIA,7,FISICO ,BUENO,SI,
443,CONVERSION,ANTIOQUIA,7,TECNICA,MALO ,NO,
518,KICK-OFF,ANTIOQUIA,-,TECNICA,MALO ,NO,
543,JUEGO RAPIDO ,RISARALDA,4,TACTICA,REGULAR,NO,
601,KNOCK-ON,RISARALDA,4,TECNICA,MALO ,NO,
617,SCRUM,ANTIOQUIA,4,TACTICA,BUENO,NO,
637,TRY,ANTIOQUIA,5,FISICO ,BUENO,SI,
640,CONVERSIÓN,ANTIOQUIA,4,TECNICA,BUENO,NO,
710,KICK-OFF,ANTIOQUIA,-,TECNICA,MALO ,NO,
729,JUEGO RAPIDO ,RISARALDA,4,TACTICA,BUENO,NO,
737,ERROR DE MANOS ,RISARALDA,5,TECNICA,MALO ,NO,
745,PENAL,RISARALDA,5,REGLAMENTO,MALO ,SI,
746,JUEGO RAPIDO ,ANTIOQUIA,1,DESICION ,BUENO,NO,
750,VENTAJA,ANTIOQUIA,5,DESICION ,MALO ,NO,
757,ERROR DE MANOS ,ANTIOQUIA,6,TACTICA,MALO ,NO,
1,KICK-OFF,RISARALDA,0,TACTICA,BUENO,NO,
9,JUEGO RAPIDO ,ANTIOQUIA,4,TACTICA,BUENO,NO,
17,TRY,ANTIOQUIA,5,FISICO ,BUENO,SI,
25,CONVERSION,ANTIOQUIA,4,TECNICA,BUENO,NO,
45,KICK-OFF,ANTIOQUIA,0,TECNICA,BUENO,NO,
110,ERROR DE MANOS ,RISARALDA,3,TECNICA,BUENO,NO,
116,PENAL,ANTIOQUIA,4,REGLAMENTO,MALO ,NO,
118,JUEGO RAPIDO ,RISARALDA,4,DESICION ,REGULAR,NO,
122,ERROR DE MANOS ,RISARALDA,4,TECNICA,MALO ,NO,
141,ERROR DE MANOS ,RISARALDA,3,TECNICA,MALO ,NO,
210,ERROR TACTICO,RISARALDA,3,TECNICA,MALO ,SI,
228,KNOCK-ON,ANTIOQUIA,4,TACTICA,MALO ,NO,
244,SCRUM,RISARALDA,4,TECNICA,BUENO,NO,
303,JUEGO RAPIDO ,RISARALDA,4,TACTICA,BUENO,NO,
308,KNOCK-ON,RISARALDA,5,TACTICA,MALO ,NO,
314,PENAL AMARILLA ,ANTIOQUIA,5,REGLAMENTO,MALO ,NO,
324,JUEGO RAPIDO ,RISARALDA,4,DESICION ,MALO ,NO,
334,PASS-FORWARD,RISARALDA,5,TECNICA,MALO ,NO,
400,SCRUM,ANTIOQUIA,4,TECNICA,BUENO,NO,
416,PENAL,ANTIOQUIA,5,REGLAMENTO,MALO ,NO,
419,JUEGO RAPIDO ,ANTIOQUIA,5,TACTICA,REGULAR,NO,
424,ERROR DE MANOS ,RISARALDA,5,TECNICA,MALO ,NO,
434,JUEGO CON EL PIE ,RISARALDA,4,TACTICA,REGULAR,NO,
442,PENAL,RISARALDA,5,REGLAMENTO,MALO ,NO,
445,JUEGO RAPIDO ,ANTIOQUIA,4,TACTICA,REGULAR,NO,
454,LINE OUT,RISARALDA,-,TACTICA,MALO ,NO,
530,TRY,ANTIOQUIA,2,FISICO ,BUENO,SI,
550,CONVERSIÓN,ANTIOQUIA,4,TECNICA,MALO ,SI,
620,KICK-OFF,ANTIOQUIA,2,TECNICA,BUENO,NO,
633,KNOCK-ON,RISARALDA,1,TECNICA,MALO ,SI,
651,SCRUM,ANTIOQUIA,4,TECNICA,BUENO,NO,
710,TRY,ANTIOQUIA,5,TACTICA,BUENO,SI,
720,CONVERSION,ANTIOQUIA,4,TECNICA,BUENO,NO,
,,,,,,,
,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
1,KICK-OFF,SANTANDER,3,TECNICA,MALO ,NO,
20,TRY,BOGOTA,6,FISICO ,BUENO,SI,
43,CONVERSION,BOGOTA,5,TECNICA,BUENO,NO,
110,KICK-OFF,BOGOTA,1,TECNICA,BUENO,NO,
120,PENAL,SANTANDER,7,REGLAMENTO,MALO ,SI,
150,LINE OUT,BOGOTA,1,TECNICA,BUENO,NO,
156,ERROR DE MANOS ,BOGOTA,3,TECNICA,MALO ,NO,
236,TRY,BOGOTA,7,FISICO ,BUENO,SI,
310,CONVERSIÓN,BOGOTA,5,TECNICA,MALO ,SI,
340,KICK-OFF,BOGOTA,2,TECNICA,BUENO,SI,
350,KNOCK-ON,SANTANDER,6,TECNICA,MALO ,SI,
410,SCRUM,BOGOTA,4,TECNICA,BUENO,NO,
453,ERROR DE MANOS ,BOGOTA,6,DESICION ,MALO ,NO,
510,SCRUM,BOGOTA,4,REGLAMENTO,BUENO,NO,
540,VUELTA,BOGOTA,4,DESICION ,BUENO,NO,
601,ERROR TACTICO,BOGOTA,2,COMUNICACION ,MALO ,NO,
620,TRY,BOGOTA,7,TACTICA,BUENO,SI,
630,CONVERSIÓN,BOGOTA,5,TECNICA,MALO ,SI,
650,KICK-OFF,BOGOTA,2,TACTICA,BUENO,NO,
710,ERROR DE MANOS ,SANTANDER,5,TECNICA,MALO ,SI,
720,JUEGO CON EL PIE ,SANTANDER,5,DESICION ,MALO ,NO,
1,KICK-OFF,BOGOTA,-,TECNICA,MALO ,NO,
28,ERROR DE MANOS ,SANTANDER,5,DESICION ,MALO ,NO,
50,JUEGO AL PIE ,SANTANDER,4,TACTICA,MALO ,NO,
118,KNOCK-ON,BOGOTA,6,TECNICA,MALO ,NO,
130,SCRUM,SANTANDER,4,TECNICA,BUENO,NO,
150,JUEGO CON EL PIE ,SANTANDER,4,TACTICA,MALO ,NO,
158,LINE OUT,BOGOTA,1,TECNICA,BUENO,NO,
234,QUIEBRE,BOGOTA,4,TACTICA,BUENO,SI,
240,TRY,BOGOTA,4,FISICO ,BUENO,SI,
310,CONVERSION,BOGOTA,5,TECNICA,BUENO,NO,
332,KICK-OFF,BOGOTA,-,TECNICA,MALO ,NO,
410,JUEGO RAPIDO ,SANTANDER,4,TACTICA,BUENO,NO,
427,PENAL,BOGOTA,5,REGLAMENTO,MALO ,SI,
432,JUEGO AL PIE ,SANTANDER,4,TECNICA,MALO ,NO,
455,VUELTA,BOGOTA,5,DESICION ,REGULAR,NO,
506,TRY,BOGOTA,5,FISICO ,BUENO,SI,
520,CONVERSIÓN,BOGOTA,4,TECNICA,BUENO,NO,
540,KICK-OFF,BOGOTA,4,TECNICA,BUENO,NO,
604,VENTAJA,BOGOTA,5,TACTICA,MALO ,SI,
623,ERROR DE MANOS ,BOGOTA,7,TECNICA,MALO ,NO,
648,TRY,BOGOTA,6,TACTICA,BUENO,NO,
700,CONVERSION,BOGOTA,4,TECNICA,BUENO,NO,
,,,,,,,
,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
1,KICK-OFF,BOLIVAR,1,TECNICA,MALO ,NO,
30,ERROR DE MANOS ,GUAJIRA,6,TECNICA,MALO ,NO,
38,PENAL,GUAJIRA,6,REGLAMENTO,MALO ,NO,
40,TIRO RAPIDO,GUAJIRA,6,TECNICA,MALO ,NO,
45,VUELTA,GUAJIRA,7,TACTICA,MALO ,NO,
57,TRY,GUAJIRA,7,FISICO ,BUENO,SI,
110,CONVERSIÓN,GUAJIRA,7,TECNICA,BUENO,NO,
122,KICK-OFF,GUAJIRA,-,TACTICA,BUENO,NO,
134,JUEGO RAPIDO ,BOLIVAR,4,TECNICA,BUENO,NO,
201,PENAL,BOLIVAR,4,COMUNICACION ,MALO ,SI,
204,JUEGO RAPIDO ,GUAJIRA,4,TACTICA,BUENO,NO,
210,COMPLETA ,GUAJIRA,7,TECNICA,BUENO,NO,
220,TRY,GUAJIRA,7,TACTICA,BUENO,SI,
240,CONVERSIÓN,GUAJIRA,7,TECNICA,MALO ,NO,
255,KICK-OFF,GUAJIRA,2,TECNICA,MALO ,NO,
304,ERROR DE MANOS ,BOLIVAR,4,TECNICA,MALO ,NO,
305,PENAL,GUAJIRA,5,REGLAMENTO,MALO ,NO,
310,TIRO RAPIDO,GUAJIRA,4,TECNICA,MALO ,NO,
320,ERROR DE MANOS ,GUAJIRA,6,TECNICA,MALO ,NO,
350,SCRUM,BOLIVAR,7,TECNICA,MALO ,NO,
400,COMPLETA ,GUAJIRA,7,TACTICA,BUENO,NO,
415,TRY,GUAJIRA,4,FISICO ,BUENO,NO,
425,CONVERSIÓN,GUAJIRA,4,TECNICA,MALO ,NO,
450,KICK-OFF,GUAJIRA,-,TECNICA,MALO ,NO,
500,JUEGO RAPIDO ,BOLIVAR,4,TECNICA,MALO ,NO,
518,ERROR DE MANOS ,BOLIVAR,7,TECNICA,MALO ,NO,
520,PENAL,GUAJIRA,7,REGLAMENTO,MALO ,NO,
526,JUEGO RAPIDO ,BOLIVAR,6,TACTICA,MALO ,NO,
528,ERROR DE MANOS ,BOLIVAR,2,COMUNICACION ,MALO ,NO,
538,PENAL,GUAJIRA,6,REGLAMENTO,MALO ,NO,
545,JUEGO CON EL PIE ,BOLIVAR,4,TACTICA,BUENO,SI,
604,TRY,BOLIVAR,6,TACTICA,BUENO,SI,
615,CONVERSION,BOLIVAR,-,REGLAMENTO,MALO ,NO,
640,KICK-OFF,BOLIVAR,2,TECNICA,REGULAR,NO,
710,TRY,GUAJIRA,7,FISICO ,BUENO,NO,
720,CONVERSION,GUAJIRA,4,TECNICA,BUENO,NO,
1,KICK-OFF,GUAJIRA,1,TECNICA,BUENO,SI,
12,ERROR DE MANOS ,GUAJIRA,4,COMUNICACION ,MALO ,NO,
20,ERROR DE MANOS ,BOLIVAR,6,TECNICA,MALO ,NO,
36,ERROR DE MANOS ,BOLIVAR,7,TECNICA,MALO ,NO,
50,SCRUM,BOLIVAR,4,TECNICA,MALO ,SI,
117,PENAL,GUAJIRA,6,REGLAMENTO,MALO ,NO,
135,VUELTA,GUAJIRA,6,TACTICA,MALO ,NO,
140,ERROR TACTICO,BOLIVAR,3,COMUNICACION ,MALO ,NO,
147,JUEGO CON EL PIE ,BOLIVAR,4,TECNICA,BUENO,NO,
150,KNOCK-ON,BOLIVAR,7,TECNICA,MALO ,NO,
210,SCRUM,GUAJIRA,1,TECNICA,BUENO,NO,
240,TRY,GUAJIRA,4,FISICO ,BUENO,NO,
250,CONVERSION,GUAJIRA,4,TECNICA,BUENO,NO,
315,KICK-OFF,GUAJIRA,1,TECNICA,BUENO,NO,
342,PENAL AMARILLA ,GUAJIRA,6,FISICO ,MALO ,SI,
410,ERROR DE MANOS ,BOLIVAR,5,TECNICA,MALO ,NO,
430,COMPLETA ,GUAJIRA,7,TACTICA,BUENO,NO,
440,TRY,GUAJIRA,7,FISICO ,BUENO,NO,
500,CONVERSION,GUAJIRA,4,TECNICA,BUENO,NO,
520,KICK-OFF,GUAJIRA,1,TECNICA,BUENO,NO,
535,KNOCK-ON,GUAJIRA,6,TECNICA,MALO ,NO,
610,SCRUM,BOLIVAR,1,TECNICA,MALO ,NO,
610,ERROR DE MANOS ,BOLIVAR,5,TACTICA,MALO ,NO,
615,PENAL,GUAJIRA,6,REGLAMENTO,MALO ,NO,
630,SCRUM,BOLIVAR,1,TECNICA,MALO ,NO,
657,KNOCK-ON,BOLIVAR,4,TECNICA,MALO ,SI,
730,SCRUM,GUAJIRA,1,TECNICA,BUENO,NO,
750,CONVERSION,GUAJIRA,4,TECNICA,BUENO,NO,
,,,,,,,
,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
1,KICK-OFF,META,1,TECNICA,BUENO,NO,
18,KNOCK-ON,BOGOTA,7,TECNICA,MALO ,NO,
21,SCRUM,BOGOTA,1,TECNICA,BUENO,NO,
107,ERROR TACTICO,BOGOTA,6,COMUNICACION ,MALO ,NO,
130,SCRUM,BOGOTA,1,TECNICA,MALO ,SI,
150,VENTAJA,BOGOTA,4,TECNICA,REGULAR,NO,
210,COMPLETA ,BOGOTA,7,TECNICA,BUENO,NO,
215,TRY,BOGOTA,7,FISICO ,BUENO,SI,
230,CONVERSION,BOGOTA,4,TECNICA,BUENO,SI,
301,KICK-OFF,BOGOTA,4,TECNICA,BUENO,SI,
410,PENAL,META,6,REGLAMENTO,MALO ,SI,
415,JUEGO RAPIDO ,BOGOTA,3,TACTICA,REGULAR,NO,
430,PENAL,META,3,REGLAMENTO,MALO ,NO,
443,TRY,BOGOTA,5,FISICO ,BUENO,SI,
440,CONVERSION,BOGOTA,4,TECNICA,MALO ,NO,
525,KICK-OFF,BOGOTA,3,TECNICA,BUENO,NO,
555,KNOCK-ON,META,6,TECNICA,MALO ,SI,
607,TRY,BOGOTA,4,TACTICA,MALO ,NO,
630,CONVERSION,BOGOTA,4,TECNICA,MALO ,SI,
650,KICK-OFF,BOGOTA,3,TECNICA,BUENO,NO,
1,KICK-OFF,BOGOTA,1,TACTICA,MALO ,NO,
41,PENAL,META,2,REGLAMENTO,MALO ,NO,
108,JUEGO AL PIE ,BOGOTA,-,TECNICA,MALO ,NO,
130,SCRUM,META,4,TECNICA,BUENO,NO,
143,ERROR DE MANOS ,META,4,TECNICA,MALO ,NO,
215,LINE OUT,BOGOTA,4,TECNICA,MALO ,NO,
238,KNOCK-ON,BOGOTA,1,TECNICA,MALO ,SI,
300,SCRUM,META,4,TECNICA,BUENO,NO,
322,ERROR DE MANOS ,META,4,TECNICA,MALO ,NO,
340,SCRUM,BOGOTA,1,TECNICA,BUENO,NO,
430,PENAL,META,6,REGLAMENTO,MALO ,NO,
457,TRY,BOGOTA,6,TECNICA,BUENO,SI,
512,CONVERSION,BOGOTA,4,TECNICA,MALO ,NO,
530,KICK-OFF,BOGOTA,0,TECNICA,BUENO,NO,
602,PENAL,META,6,FISICO ,MALO ,NO,
624,TRY,BOGOTA,6,TACTICA,BUENO,SI,
634,CONVERSION,BOGOTA,4,TECNICA,BUENO,NO,
655,KICK-OFF,BOGOTA,-,TECNICA,MALO ,NO,
720,JUEGO RAPIDO ,META,4,TACTICA,REGULAR,NO,
725,ERROR DE MANOS ,META,6,COMUNICACION ,MALO ,NO,
741,PENAL,META,5,REGLAMENTO,MALO ,NO,
744,JUEGO RAPIDO ,BOGOTA,5,TACTICA,REGULAR,NO,
755,TRY,BOGOTA,7,TACTICA,BUENO,NO,
816,CONVERSION,BOGOTA,7,TECNICA,MALO ,SI,
