MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
120,PENAL,NORTE,7,REGLAMENTO,MALO ,SI,
143,PENAL,BOLIVAR ,4,REGLAMENTO,MALO ,NO,
150,JUEGO RAPIDO ,NORTE,4,TACTICA,REGULAR,SI,
151,JUEGO CON EL PIE ,NORTE,4,TACTICA,BUENO,NO,
202,SALIDA 22,BOLIVAR ,5,TECNICA,REGULAR,NO,
247,TRY,NORTE,6,FISICO ,BUENO,SI,
300,CONVERSIÓN,NORTE,4,TECNICA,BUENO,NO,
330,KICK-OFF,NORTE,2,TECNICA,MALO ,SI,I
401,VUELTA,BOLIVAR ,4,TACTICA,BUENO,SI,
414,PENAL,NORTE,4,REGLAMENTO,MALO ,NO,
427,JUEGO RAPIDO ,BOLIVAR ,6,TACTICA,REGULAR,NO,
433,VUELTA,BOLIVAR ,5,TACTICA,REGULAR,NO,
455,ERROR DE MANOS ,NORTE,4,TECNICA,MALO ,NO,
500,SCRUM,NORTE,4,REGLAMENTO,MALO ,NO,
535,FREE-KICK,BOLIVAR ,4,REGLAMENTO,NA,NA,
536,JUEGO RAPIDO ,BOLIVAR ,6,TACTICA,BUENO,NO,
550,SCRUM,BOLIVAR ,4,REGLAMENTO,MALO ,SI,
620,PENAL,BOLIVAR ,4,TECNICA,MALO ,NO,
630,LINE OUT,NORTE,1,TACTICA,BUENO,NO,
705,PENAL,NORTE,6,REGLAMENTO,MALO ,NO,
712,JUEGO RAPIDO ,BOLIVAR ,6,TACTICA,BUENO,NO,
725,COMPLETA ,BOLIVAR ,7,TACTICA,MALO ,SI,
,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
1,KICK-OFF,RISARALDA,4,TECNICA,BUENO,SI,D
10,ERROR DE MANOS ,RISARALDA,7,TECNICA,BUENO,NO,
11,ERROR DE MANOS ,SANTANDER,4,DESICION ,MALO ,NO,
23,VUELTA,RISARALDA,4,TACTICA,REGULAR,SI,
26,JUEGO CON EL PIE ,RISARALDA,7,TACTICA,MALO ,NO,
100,PENAL,RISARALDA,6,TACTICA,MALO ,NO,
112,LINE OUT,SANTANDER,1,TECNICA,MALO ,SI,
148,VUELTA,SANTANDER,4,TACTICA,MALO ,NO,
153,PENAL,RISARALDA,4,REGLAMENTO,MALO ,NO,
218,JUEGO RAPIDO ,SANTANDER,4,TACTICA,REGULAR,NO,
230,VUELTA,SANTANDER,5,TACTICA,BUENO,NO,
234,TRY,SANTANDER,4,REGLAMENTO,BUENO,SI,
240,CONVERSIÓN,SANTANDER,4,TECNICA,BUENO,NO,
310,KICK-OFF,SANTANDER,3,TECNICA,REGULAR,NO,D
340,KNOCK-ON,RISARALDA,7,TECNICA,MALO ,NO,
427,ERROR DE MANOS ,SANTANDER,4,TECNICA,MALO ,SI,
450,ERROR DE MANOS ,RISARALDA,4,DESICION ,MALO ,NO,
500,ERROR TACTICO,RISARALDA,4,COMUNICACION ,MALO ,NO,
503,PENAL AMARILLA ,SANTANDER,5,REGLAMENTO,MALO ,NO,
510,SCRUM,RISARALDA,4,TACTICA,BUENO,NO,
540,COMPLETA ,RISARALDA,7,TACTICA,REGULAR,NO,
553,ERROR DE MANOS ,RISARALDA,7,TECNICA,MALO ,NO,
605,LINE OUT,SANTANDER,2,REGLAMENTO,MALO ,NO,
630,SCRUM,RISARALDA,4,REGLAMENTO,MALO ,NO,
655,ERROR DE MANOS ,RISARALDA,7,TECNICA,MALO ,NO,
710,ERROR DE MANOS ,RISARALDA,7,TECNICA,MALO ,NO,
730,VUELTA,RISARALDA,4,TACTICA,MALO ,NO,
734,TRY,RISARALDA,4,FISICO ,BUENO,SI,
749,CONVERSIÓN,RISARALDA,4,TECNICA,BUENO,NO,
1,KICK-OFF,RISARALDA,0,TECNICA,REGULAR,NO,C
